S#No,question,audio_notes,photo_thumbnail,video_thumbnail,is_multiple_choice_question,multiple_choice_options,is_sub1_question,sub1_question,sub1_audio_notes,is_sub1_multiple_choice_question,sub1_multiple_choice_options,is_sub2_question,sub2_question,sub2_audio_notes,is_sub2_multiple_choice_question,sub2_multiple_choice_options,upload_photo,upload_video,upload_audio
28.0,How is the Seat Belts Condition?  ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q28.mp3,No,No,Yes,"Working , Not Working , Not Applicable",No,,,No,,No,,,No,,No,No,No
29.0,Please take interior Roof Photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q29.mp3,Yes,No,No,,Yes,Interior Roof Condition,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q29_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
30.0,Please take full dashboard photo,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q30.mp3,Yes,No,No,,Yes,Dashboard Condition?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q30_SQ1.mp3,Yes,"Good ,Stained, Crack , Damage",No,,,No,,Yes,No,Yes
31.0,Please take ODOmeter Photo With Warning lights,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q31.mp3,Yes,No,No,,Yes,Is there any warning light showing on the car's dashboard?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q31_SQ1.mp3,Yes,"Yes , No ,Not Applicable",No,,,No,,Yes,No,Yes
44.0,Is Airbags Available? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q44.mp3,No,No,Yes,"Yes,No",Yes,Number Of Airbags,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q44_SQ1.mp3,Yes,"0,2,4,6",No,,,No,,No,No,Yes
,"Infotainment , Electrical Sytem and Accessories Check",,,,,,,,,,,,,,,,,,
36.0,Please take photo of Infotainment System,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q36.mp3,Yes,No,No,,Yes,Is Infotainment System Working Properly?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q36_SQ1.mp3,Yes,"Working, Not Working, Not Applicable ",No,,,No,,Yes,No,Yes
37.0,Is the steering wheel controls working properly?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q37.mp3,No,No,Yes,"Working ,Not Working, Not Applicable",No,,,No,,No,,,No,,No,No,Yes
38.0,Is Horn Working Properly? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q38.mp3,No,No,Yes,"Working ,Not Working, Not Applicable",No,,,No,,No,,,No,,No,No,Yes
39.0,Is Sound System Working Properly?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q39.mp3,No,No,Yes,"Working ,Not Working, Not Applicable",No,,,No,,No,,,No,,No,No,Yes
40.0,Is Side Electronic Mirror is working?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q40.mp3,No,No,Yes,"Working ,Not Working, Not Applicable",No,,,No,,No,,,No,,No,No,Yes
52.0,What is the condition of the window regulators? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q52.mp3,No,No,Yes,"Working ,Not Working , Not Applicable",No,,,No,,No,,,No,,No,No,Yes
53.0,Are the door locks manual or automatic?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q53.mp3,No,No,Yes,"Manual , Automatic",Yes,Are the door locks functioning properly? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q53_SQ1.mp3,Yes,"Working ,Not Working , Not Applicable",No,,,No,,No,No,Yes
32.0,Is Speedometer Working Properly? ,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q32.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
33.0,Is Fuel Gauge Working Properly?,https://objectstore.e2enetworks.net/wisedrivestorage/Audiofiles/inspection/Thai/Q33.mp3,No,No,Yes,"Yes,No",No,,,No,,No,,,No,,No,No,Yes
